run_index,port,worker_root,worker_log,container_exit_code,result_dir
1,8554,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker01,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker01/docker.log,0,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker01/results-live555_Apr-04_07-54-51
2,8554,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker02,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker02/docker.log,0,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker02/results-live555_Apr-04_07-54-51
3,8554,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker03,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker03/docker.log,0,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker03/results-live555_Apr-04_07-54-51
