results_id,subject,fuzzer,run,l_abs,b_abs,nodes,edges,crashes,hangs,bugs,l_abs_source,b_abs_source,nodes_source,edges_source,crashes_source,hangs_source,bugs_source,status,exit_code,timeout_triggered,startup_ready,startup_reason,failure_reason,phase,fuzz_started,cov,ft,states,leaves,exec_per_sec,guard_nb,branch_coverage_percent,crash_artifacts,timeout_artifacts,oom_artifacts,leak_artifacts,bug_artifacts,unique_bug_signatures,mutation_graph_edges,summary_csv,run_root,log_file,artifact_dir
results-live555_Apr-04_07-54-51,live555,sgfuzz,1,,,,,0,0,1,unavailable_no_llvm_export,unavailable_no_llvm_export,unavailable_no_state_observer_csv,unavailable_no_state_observer_csv,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,oom_detected,fuzzing,yes,1815,9756,14223,2635,29,15550,,0,0,1,0,1,1,1657,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker01/results-live555_Apr-04_07-54-51/summary.csv,/results/worker01/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554,/results/worker01/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/run.log,/results/worker01/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/artifacts
results-live555_Apr-04_07-54-51,live555,sgfuzz,1,,,,,0,0,1,unavailable_no_llvm_export,unavailable_no_llvm_export,unavailable_no_state_observer_csv,unavailable_no_state_observer_csv,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,oom_detected,fuzzing,yes,1809,9847,14213,2607,29,15550,,0,0,1,0,1,1,1747,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker02/results-live555_Apr-04_07-54-51/summary.csv,/results/worker02/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554,/results/worker02/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/run.log,/results/worker02/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/artifacts
results-live555_Apr-04_07-54-51,live555,sgfuzz,1,,,,,0,0,1,unavailable_no_llvm_export,unavailable_no_llvm_export,unavailable_no_state_observer_csv,unavailable_no_state_observer_csv,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,oom_detected,fuzzing,yes,1811,9722,12879,2405,34,15550,,0,0,1,0,1,1,1465,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-04_15-54-51/worker03/results-live555_Apr-04_07-54-51/summary.csv,/results/worker03/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554,/results/worker03/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/run.log,/results/worker03/results-live555_Apr-04_07-54-51/Apr-04_07-54-51_run01_port8554/artifacts
