Time,elapsed_seconds,l_per,l_abs,b_per,b_abs
1759134292,0,10.9,2174,5.2,942
1774200734,0,10.9,2174,5.2,942
1774200735,0,10.9,2174,5.2,942
1774200735,0,10.9,2174,5.2,942
1774200735,0,10.9,2174,5.2,942
1774202422,0,10.9,2174,5.2,942
1774214783,0,10.9,2174,5.2,942
1774247375,0,10.9,2174,5.2,942
1774276040,0,10.9,2174,5.2,942
1774327847,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350715,0,10.9,2174,5.2,942
1774350716,0,10.9,2174,5.2,942
1774350716,0,10.9,2174,5.2,942
1774350716,0,10.9,2174,5.2,942
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350716,0,10.9,2174,5.2,943
1774350717,0,10.9,2174,5.2,943
1774350717,0,10.9,2174,5.2,943
1774350717,0,10.9,2174,5.2,943
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350717,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350718,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350719,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350720,0,10.9,2176,5.2,944
1774350721,0,10.9,2176,5.2,944
1774350721,0,10.9,2176,5.2,944
1774350721,0,10.9,2176,5.2,944
1774350721,0,10.9,2176,5.2,944
1774350721,0,10.9,2176,5.2,944
1774350722,0,10.9,2176,5.2,944
1774350722,0,10.9,2176,5.2,944
1774350722,0,10.9,2176,5.2,944
1774350722,0,10.9,2176,5.2,944
1774350723,0,10.9,2176,5.2,944
1774350723,0,10.9,2176,5.2,944
1774350723,0,10.9,2176,5.2,944
1774350723,0,10.9,2176,5.2,944
1774350724,0,10.9,2176,5.2,944
1774350724,0,10.9,2176,5.2,944
1774350725,0,10.9,2176,5.2,944
1774350725,0,10.9,2176,5.2,944
1774350725,0,10.9,2176,5.2,944
