results_id,subject,fuzzer,run,l_abs,b_abs,nodes,edges,crashes,hangs,bugs,l_abs_source,b_abs_source,nodes_source,edges_source,crashes_source,hangs_source,bugs_source,status,exit_code,timeout_triggered,startup_ready,startup_reason,failure_reason,phase,fuzz_started,cov,ft,states,leaves,exec_per_sec,guard_nb,branch_coverage_percent,crash_artifacts,timeout_artifacts,oom_artifacts,leak_artifacts,bug_artifacts,unique_bug_signatures,mutation_graph_edges,summary_csv,run_root,log_file,artifact_dir
results-live555_Apr-02_16-05-23,live555,sgfuzz,1,2174,942,6,29,0,0,1,gcov_cov_over_time,gcov_cov_over_time,external_state_observer,external_state_observer,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,none,fuzzing,yes,1807,9287,9045,1720,42,15550,,0,0,1,0,1,1,1062,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-03_00-05-23/worker01/results-live555_Apr-02_16-05-23/summary.csv,/results/worker01/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554,/results/worker01/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/run.log,/results/worker01/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/artifacts
results-live555_Apr-02_16-05-23,live555,sgfuzz,1,2176,943,6,29,0,0,1,gcov_cov_over_time,gcov_cov_over_time,external_state_observer,external_state_observer,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,none,fuzzing,yes,1778,8685,10389,1958,41,15550,,0,0,1,0,1,1,1262,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-03_00-05-23/worker02/results-live555_Apr-02_16-05-23/summary.csv,/results/worker02/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554,/results/worker02/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/run.log,/results/worker02/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/artifacts
results-live555_Apr-02_16-05-23,live555,sgfuzz,1,2176,943,6,29,0,0,1,gcov_cov_over_time,gcov_cov_over_time,external_state_observer,external_state_observer,mapped_from_crash_artifacts,mapped_from_timeout_artifacts,mapped_from_bug_artifacts,0,0,no,yes,ready,none,fuzzing,yes,1784,8483,7775,1444,43,15550,,0,0,1,0,1,1,834,/home/ckt/Documents/000_2026_test_dev/SGFuzzer/SGFuzz/example/live555/artifacts/parallel-results-live555_Apr-03_00-05-23/worker03/results-live555_Apr-02_16-05-23/summary.csv,/results/worker03/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554,/results/worker03/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/run.log,/results/worker03/results-live555_Apr-02_16-05-23/Apr-02_16-05-23_run01_port8554/artifacts
